1,10,3,20,baum-welch,0.00905813,0.00905813,1,1
1,10,3,20,forward,0.000637602,0.000637602,1,1
1,10,3,20,backward,0.000604962,0.000604962,1,1
2,10,3,20,baum-welch,0.00905813,0.0085205,1.0631,0.531549
2,10,3,20,forward,0.000637602,0.000563601,1.1313,0.56565
2,10,3,20,backward,0.000604962,0.000566881,1.06718,0.533588
4,10,3,20,baum-welch,0.00905813,0.00669176,1.35362,0.338406
4,10,3,20,forward,0.000637602,0.000568719,1.12112,0.28028
4,10,3,20,backward,0.000604962,0.000456419,1.32545,0.331363
8,10,3,20,baum-welch,0.00905813,0.00686102,1.32023,0.165029
8,10,3,20,forward,0.000637602,0.00152558,0.41794,0.0522425
8,10,3,20,backward,0.000604962,0.000386855,1.56379,0.195474
16,10,3,20,baum-welch,0.00905813,0.00768812,1.1782,0.0736373
16,10,3,20,forward,0.000637602,0.000671115,0.950064,0.059379
16,10,3,20,backward,0.000604962,0.000351452,1.72132,0.107583
32,10,3,20,baum-welch,0.00905813,0.00971301,0.932577,0.029143
32,10,3,20,forward,0.000637602,0.00109404,0.582794,0.0182123
32,10,3,20,backward,0.000604962,0.000465175,1.3005,0.0406408
52,10,3,20,baum-welch,0.00905813,0.0301236,0.300699,0.00578267
52,10,3,20,forward,0.000637602,0.0221099,0.0288379,0.000554575
52,10,3,20,backward,0.000604962,0.000643754,0.939741,0.0180719
64,10,3,20,baum-welch,0.00905813,0.115499,0.0784257,0.0012254
64,10,3,20,forward,0.000637602,0.00960425,0.0663875,0.0010373
64,10,3,20,backward,0.000604962,0.00499866,0.121025,0.00189101
128,10,3,20,baum-welch,0.00905813,0.217139,0.0417158,0.000325904
128,10,3,20,forward,0.000637602,0.0128978,0.049435,0.000386211
128,10,3,20,backward,0.000604962,0.0100284,0.0603249,0.000471288
1,10,3,40,baum-welch,0.0166886,0.0166886,1,1
1,10,3,40,forward,0.00123189,0.00123189,1,1
1,10,3,40,backward,0.00125594,0.00125594,1,1
2,10,3,40,baum-welch,0.0166886,0.0153932,1.08415,0.542077
2,10,3,40,forward,0.00123189,0.00109012,1.13005,0.565024
2,10,3,40,backward,0.00125594,0.00112409,1.11729,0.558646
4,10,3,40,baum-welch,0.0166886,0.012103,1.37888,0.344721
4,10,3,40,forward,0.00123189,0.00131658,0.935679,0.23392
